"songID","title","artist","album"
"TRAAAAW128F429D538","I Didn't Mean To","Casual","Fear Itself"
"TRAAABD128F429CF47","Soul Deep","The Box Tops","Dimensions"
"TRAAADZ128F9348C2E","Amor De Cabaret","Sonora Santanera","Las Numero 1 De La Sonora Santanera"
"TRAAAEF128F4273421","Something Girls","Adam Ant","Friend Or Foe"
"TRAAAFD128F92F423A","Face the Ashes","Gob","Muertos Vivos"
"TRAAAMO128F1481E7F","The Moon And I (Ordinary Day Album Version)","Jeff And Sheri Easter","Ordinary Day"
"TRAAAMQ128F1460CD3","Keepin It Real (Skit)","Rated R","Da Ghetto Psychic"
"TRAAAPK128E0786D96","Drop of Rain","Tweeterfriendly Music","Gin & Phonic"
"TRAAARJ128F9320760","Pink World","Planet P Project","Pink World"
"TRAAAVG12903CFA543","Insatiable (Instrumental Version)","Clp","Superinstrumental"
"TRAAAVO128F93133D4","Young Boy Blues","JennyAnyKind","I Need You"
"TRAABCL128F4286650","The Urgency (LP Version)","Wayne Watson","The Way Home"
"TRAABDL12903CAABBA","La Culpa","Andy Andy","Placer & Castigo"
"TRAABJL12903CDCF1A","Auguri Cha Cha","Bob Azzam","Arrivederci"
"TRAABJV128F1460C49","Tonight Will Be Alright","Lionel Richie","Dancing On The Ceiling"
"TRAABLR128F423B7E3","Floating","Blue Rodeo","Outskirts"
"TRAABNV128F425CEE1","High Tide","Richard Souther","Cross Currents"
"TRAABRB128F9306DD5","Sohna Nee Sohna Data","Faiz Ali Faiz","Panjtan Ka Ghulam"
"TRAABVM128F92CA9DC","Caught In A Dream","Tesla","Gold"
"TRAABXG128F9318EBD","Synthetic Dream","lextrical","Whatever Happened To Boredom?"
"TRAABYN12903CFD305","Broken-Down Merry-Go-Round","Jimmy Wakely","1942-1952 Jimmy Wakely"
"TRAABYW128F4244559","Kassie Jones","Alice Stuart","All The Good Times"
"TRAACCG128F92E8A55","Setanta matins","Elena","Un cafe_ setanta matins"
"TRAACER128F4290F96","Setting Fire to Sleeping Giants","The Dillinger Escape Plan","Miss Machine"
"TRAACFV128F935E50B","James (Hold The Ladder Steady)","SUE THOMPSON","Sue Thompson - Her Very Best"
"TRAACHN128F1489601","Made Like This (Live)","Five Bolt Main","Live"
"TRAACIW12903CC0F6D","Superconfidential","Clp","Strictly Confidential"
"TRAACLV128F427E123","I Think My Wife Is Running Around On Me (Taco Hell)","Tim Wilson","The Real Twang Thang"
"TRAACNS128F14A2DF5","Spanish Grease","Willie Bobo","Willie Bobo's Finest Hour"
"TRAACOW128F933E35F","Crazy Mixed Up World","Faye Adams","Shake A Hand"
"TRAACPE128F421C1B9","Do You Finally Need A Friend","Terry Callier","Occasional Rain"
"TRAACQT128F9331780","The Emperor Falls","John Wesley","The Emperor Falls"
"TRAACSL128F93462F4","Twist and Shout","The Shangri-Las","Best of The Shangri-Las"
"TRAACTB12903CAAF15","It Makes No Difference Now","Billie Jo Spears","20 Of Her Best"
"TRAACVS128E078BE39","Laws Patrolling (Album Version)","Mike Jones (Featuring CJ_ Mello & Lil' Bran)","Who Is Mike Jones?"
"TRAACZK128F4243829","¿Dónde va Chichi?","Sierra Maestra","Tibiri Tabara"
"TRAADDS128F425C68B","Barking Dogs (From ""Piouhgd"")","Butthole Surfers","Piouhgd + Widowermaker!"
"TRAADED128F42741FD","OUTE ENA EFHARISTO","Despina Vandi","Profities"
"TRAADEV128F9348C0A","Midnight Swim","Javier Navarrete","Cracks"
"TRAADHS12903CE70A9","In A Subtle Way","Jacob Young","Pieces Of Time"
"TRAADIV12903CB15C1","Spin","Scarlet's Remains","The Palest Grey"
